instruction,reference
Paraphrase this question: Which IT companies in Germany directly hire experienced employees from India?,Is there any IT company in Germany which directly hire experienced employees from India?
Paraphrase this question: Can you tell me about the aliens?,Can you tell me Everything you know about aliens?
Paraphrase this question: What caused the British empire to loose its countries?,What caused the British Empire to fall?
Paraphrase this question: How do I commit suicide with no pain?,What is the best way to commit suicide in India?
Paraphrase this question: What interesting things could an invisible person do?,"If you could be invisible at will, what would you do?"
Paraphrase this question: I have an untreatable and life-long disabling neurological disease. What is the easiest and most painless way I can commit suicide?,What's the absolute easiest way to commit suicide?
Paraphrase this question: What do you think of demonetization in India?,How is demonetization helping India?
Paraphrase this question: How do I know If I'm really in love?,How do I know that I am in love?
Paraphrase this question: Does red bull drink contain bull sperm?,Is Red Bull energy drink made by bull sperm?
"Paraphrase this question: When an employer asks what would you like your salary to be, how do you respond exactly?",What do you say when your potential employer asks you how you would like to be compensated?
Paraphrase this question: Why is uplink frequency higher than downlink frequency?,Why is the uplink frequency greater than download frequency in satellite communication?
Paraphrase this question: What are small embedded systems projects that will help my resume?,"I'm trying to think of some good embedded systems projects to do (to add to my resume), what types of projects will impress?"
Paraphrase this question: Is there any evidence of alien life in space?,Is there any proof or evidence of alien / extraterrestrial life existence?
Paraphrase this question: Who are the Quora users with the most followers from each country?,Who are the most followed Quora users from each country?
Paraphrase this question: How will Trump's presidency affect Indian students who are planning to do a PhD in the US?,What does Donald Trump's win mean for Indian students in USA?
"Paraphrase this question: What is a lucrative career for an introverted, creative, neurotic person who is bad at STEM?",What is a lucrative career for someone who is an introvert but bad at STEM?
Paraphrase this question: Why is my Quora feed always showing the same questions?,Why is Quora showing me the same questions again and again when I visit the website or app?
Paraphrase this question: What's a good workout plan to lose belly fat?,How can I lose body fat in my belly and chest?
"Paraphrase this question: ""What is the meaning of """"af""""?""",What's the meaning of AF?
Paraphrase this question: How should I study in first year of MBBS?,How do I study to get distinction in MBBS first year?
Paraphrase this question: How do you get better grades?,How can I study to get better grades?
Paraphrase this question: How can I tighten my body and get rid of tummy/belly fat?,How do I get rid of belly fat and thigh fat?
Paraphrase this question: How do I get my old WeChat account back?,How do I find my old account in WeChat?
Paraphrase this question: How can one make money online?,How can I earn money online?
Paraphrase this question: What is the best way to learn to play the guitar by myself?,How can I learn to play guitar?
Paraphrase this question: Why is everyone pouncing on Donald Trump for not paying taxes?,Why is Donald Trump being criticized for minimizing his taxes?
Paraphrase this question: What are some books that are worth reading?,What books do you recommend reading?
Paraphrase this question: How was Chris Wallace as a moderator in the Presidential debate?,Did Chris Wallace do a relatively good job as presidential debate moderator?
Paraphrase this question: How can I grow taller fast?,What are the tips to grow taller?
Paraphrase this question: What can you do in lucid dreams?,What can you do in a lucid dream?
Paraphrase this question: How do I download Microsoft Office for free?,Where can we download Microsoft Office for free?
Paraphrase this question: Who are your best friends and why?,Who is my best friend?
Paraphrase this question: What is the difference between normal petrol and speed petrol?,What is the difference between ordinary petrol and speed petrol?
Paraphrase this question: Which is the best book for learning C for Beginners?,What are the best book to learn C#?
Paraphrase this question: What do you want to accomplish before you die?,What are the things you want to do before you die?
"Paraphrase this question: If I have 24 hours to live, what should I do?","If you only had 24 hours to live, what would you do? Specifics please."
Paraphrase this question: Why do people re-ask questions on Quora that have already been answered multiple times?,Why do people add questions on Quora when they've already been asked?
Paraphrase this question: How do I convince investors for my startup idea?,How should I convince a startup investor that he should invest in my idea?
Paraphrase this question: What are some amazing facts about the Ramasetu?,What are some amazing fact about Ramsetu?
Paraphrase this question: What are some causes of sores in the labia minora?,What are the causes of having a swollen and itchy labia minora?
Paraphrase this question: What would you do as the President of the United States if you were somehow elected?,What will you do if you were elected as the President of United States?
Paraphrase this question: What are the best study strategies?,How can I study efficiently?
Paraphrase this question: Are you a dog person or cat? Why?,Are you a dog person or a cat person?
Paraphrase this question: Does technology adversely affect relationships?,Has technology affected relationships?
Paraphrase this question: Would you rather live in an urban or rural area?,Would you rather live in the city or rural area?
Paraphrase this question: How can I lose 25 pounds in a month?,What are some ways to lose 30 pound in 1 month?
"Paraphrase this question: My girlfriend broke up with me so she could sleep around, how can I get over this?",My girlfriend of four years cheated on me with another man and is now happy with him. How do I get over her?
Paraphrase this question: How can I learn body language?,What is the best way to learn about body language?
Paraphrase this question: What is the internet? Can we build another one?,Can we create another thing like internet?
Paraphrase this question: What are some of the wittiest pieces of sarcasm?,What are the wittiest pieces of sarcasm?
Paraphrase this question: What is link juice?,What is link juice in seo?
Paraphrase this question: Do you think Trump will be the next president?,"Who do you think would win the election, Trump or Clinton?"
"Paraphrase this question: Which is better to judge a movie, IMDB or Rotten Tomatoes?",Which movie website is better: IMDb or Rotten Tomatoes?
Paraphrase this question: What is the benefits of gst bill?,What is the use of GST bill?
Paraphrase this question: What are the reasons behind nuclear energy being non-renewable?,"Is nuclear energy non-renewable? If not, why?"
Paraphrase this question: Are human beings meant to be monogamous?,Were humans meant to be polygamous or monogamous?
Paraphrase this question: How do I upload the video on the you tube?,How can I upload a video on you tube?
Paraphrase this question: What is the expected cut off for KVPY SA Aptitude Test 2016?,What is the expected cut off for KVPY SA 2016?
Paraphrase this question: What are the best books for IIT JAM math and what is the best strategy for preparation?,Which are the best books for iit jam mathematics?
Paraphrase this question: How do you get rid of moles at home?,How do you get rid of moles on your face?
Paraphrase this question: How can we meet to PM Narendra Modi?,How can I meet Sir Narendra Modi Ji?
Paraphrase this question: Does sex feel good for women?,What does sex feel like for a girl?
Paraphrase this question: Which is the best college for biotechnology in India?,Which is best college for biotechnology in India?
Paraphrase this question: Is de Broglie's subquantic medium the strongly interacting dark matter which fills 'empty' space? Is it the DM that waves in a double slit experiment?,Is it the dark matter that waves in a double slit experiment?
Paraphrase this question: Has anyone ever had to wash the dishes in a restaurant because they couldn't pay the bill?,Has anyone ever been forced to wash dishes to pay a restaurant check? Or is it just a movie trope?
Paraphrase this question: Is the Earth flat?,Is the world truly flat?
Paraphrase this question: What do professors and students think about the Make School?,What do professors and students think about the Make School and it's reputation?
Paraphrase this question: What are the best do-it-yourself Tumblr blogs?,What are the best Tumblr blogs?
Paraphrase this question: What is ultimate purpose of life?,What is the GRAND purpose of life?
Paraphrase this question: Is it safe to travel alone in Vietnam?,Is Vietnam safe to travel alone?
"Paraphrase this question: Does any other country have a caste system apart from India? If yes, how did they overcome these barriers?",Is there anything comparable to India's caste system in other countries?
Paraphrase this question: How do I sell a patent?,How can I sell my patent?
Paraphrase this question: What is the best gift one can give to their parents?,What is the best gift we can give to our parents?
Paraphrase this question: Can we hack gmail or Facebook account?,Can I hack Facebook?
Paraphrase this question: What type off music do you listen?,What type of music do you like?
"Paraphrase this question: If Michelle Obama had run for president, would you vote for her? Would she have beaten Clinton in the Primary?",Would you vote for Michelle Obama if she was running for President?
Paraphrase this question: Which country is the best place to work in?,What are some of the best countries in the work and stay?
Paraphrase this question: How do you determine the surface area of cuboid?,How can you find the total surface area of a cuboid formula?
Paraphrase this question: Evolution: Why do people from different races(or region) have different facial features?,What causes the difference in the facial features of people of different races?
"Paraphrase this question: Why is the value of Japanese Yen so low, as compared to other developed countries, even though Japan is one of the biggest manufacturers and exporters?","Why is the Japanese yen so weak in comparison to the dollar, even if Japan is a developed country?"
Paraphrase this question: Is it possible to join the Indian navy from the merchant navy?,Is it possible to shift from merchant navy to Indian navy?
Paraphrase this question: What are web applications?,What is web application?
Paraphrase this question: Are there any conspiracy theories that are probably true? Any conspiracy theories that turned out to be true?,Has there been any major conspiracy theory that has turned out to be true?
Paraphrase this question: Which are some best coaching centers for CA ipcc in delhi?,"Chartered Accountants (CA): What is best coaching in Delhi for IPCC both groups, first attempt?"
Paraphrase this question: Has international aid led to overpopulation?,Does providing aid to poor countries increase the risk of overpopulation?
Paraphrase this question: What is it like to be a foreigner living in Beijing?,What's the life like to be a foreigner living in Beijing?
Paraphrase this question: What is the scope of supply-chain Management in India?,What is the scope of supply chain management in India?
Paraphrase this question: How do I stop being insecure ?,How do I stop my insecurities?
Paraphrase this question: How does Quora count the number of views in an answer?,How does Quora count the views of my/your answers?
Paraphrase this question: What are some of the longest words and their meanings in the English language?,What's the longest word in the English language and what does it mean?
Paraphrase this question: Is a loan-based crowdfunding platform a financial institution?,Is a loan-based crowdfunding platform classified as a financial institution?
Paraphrase this question: I'm gay I feel in love with a straight boy. He is also my friend. What should I do?,"I'm a 13 year old lesbian and am in love with my best, straight friend. What do I do?"
"Paraphrase this question: I'm 24, I want to be a entrepreneur. How do I start?",I am 17. I want to become an entrepreneur. I want to do something innovative. Where do I start?
Paraphrase this question: What is the best way to prepare for the theoretical part of the CA Final Exam?,How to prepare for CA Final exams?
